CrimeDateTime,ASSAULT,BATTERY,WEAPONS VIOLATION,THEFT,CRIMINAL TRESPASS,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,DECEPTIVE PRACTICE,ROBBERY,PUBLIC PEACE VIOLATION,CRIMINAL SEXUAL ASSAULT,NARCOTICS,OTHER OFFENSE,BURGLARY,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,CONCEALED CARRY LICENSE VIOLATION,PROSTITUTION,HUMAN TRAFFICKING,OBSCENITY,STALKING,ARSON,LIQUOR LAW VIOLATION,KIDNAPPING,INTIMIDATION,PUBLIC INDECENCY,NON-CRIMINAL,GAMBLING,OTHER NARCOTIC VIOLATION
2021-03-23,38,81,23,97,5,29,64,50,14,0,1,31,37,8,3,4,4,2,0.0,0.0,0.0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-24,59,85,20,96,5,16,56,55,18,0,5,36,37,12,1,1,2,1,0.0,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-25,36,87,14,88,4,31,48,44,19,0,8,28,37,16,5,2,1,1,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,55,97,20,84,9,38,60,47,23,0,1,17,44,4,6,1,3,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-27,51,122,38,67,6,28,55,25,14,0,5,9,31,13,3,3,0,1,0.0,0.0,0.0,0,2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,58,124,29,84,10,27,64,31,11,2,3,26,39,16,5,3,4,0,0.0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-29,48,115,23,80,9,25,67,34,5,1,4,23,36,10,6,4,0,1,1.0,0.0,0.0,0,3,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-03-30,47,95,26,106,9,24,67,34,13,1,6,30,37,16,5,4,0,1,0.0,0.0,0.0,0,0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
2021-03-31,56,76,24,91,12,21,69,41,18,1,3,29,28,13,2,2,3,1,0.0,0.0,0.0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-01,54,84,22,121,8,22,80,95,15,0,9,29,56,17,11,5,1,0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-02,48,92,23,111,6,26,62,31,26,1,3,17,40,12,6,2,0,0,0.0,0.0,0.0,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-03,62,119,45,92,10,25,59,29,16,0,5,16,32,9,6,6,0,1,1.0,0.0,0.0,0,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-04,53,143,41,75,7,21,62,34,16,1,5,20,36,12,5,2,8,0,1.0,0.0,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-05,52,96,32,87,9,23,65,45,10,3,4,25,48,12,6,4,3,0,0.0,0.0,0.0,0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06,56,108,30,93,10,31,73,46,11,1,3,26,38,10,1,3,4,0,0.0,0.0,0.0,0,0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-04-07,62,110,25,115,9,26,60,48,13,2,5,33,47,12,6,5,2,2,1.0,0.0,0.0,0,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-08,45,82,21,91,13,21,52,48,18,0,3,32,39,10,4,2,1,0,2.0,0.0,0.0,0,1,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-04-09,58,103,26,72,12,21,63,50,14,0,3,26,54,19,9,0,1,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-10,58,115,30,88,7,25,67,22,14,2,6,21,41,11,6,0,0,1,0.0,0.0,0.0,0,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-11,53,114,26,73,6,21,71,22,13,1,4,15,33,19,5,2,3,0,0.0,0.0,0.0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-12,60,101,25,86,12,20,68,58,17,0,2,12,39,19,6,3,1,2,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-13,51,113,26,94,11,16,64,40,24,0,1,13,34,15,5,2,2,3,0.0,0.0,0.0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-14,44,91,17,83,8,22,58,40,9,1,8,15,47,11,3,3,4,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-15,59,93,28,102,9,29,59,51,11,2,3,11,37,12,4,2,1,0,1.0,0.0,0.0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,46,95,27,103,9,20,83,51,20,3,2,10,30,13,8,4,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2021-04-17,45,127,33,83,5,19,84,26,18,2,6,6,37,12,3,2,2,0,2.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-04-18,48,112,28,77,9,17,55,22,14,3,3,10,33,9,5,2,4,0,1.0,0.0,0.0,0,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-04-19,35,75,23,90,6,23,58,43,15,2,2,8,35,14,3,5,1,1,0.0,0.0,0.0,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-04-20,43,70,15,96,6,21,46,53,15,4,5,10,34,19,3,1,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-21,42,75,21,99,9,27,47,42,12,1,2,9,37,20,6,2,3,2,0.0,0.0,0.0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-22,64,81,21,96,11,28,62,36,20,2,4,13,31,15,7,3,1,0,0.0,0.0,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-04-23,42,92,35,97,9,24,75,41,9,1,0,15,44,14,8,1,2,2,1.0,0.0,0.0,0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-24,66,132,25,76,11,28,69,24,17,1,7,12,50,10,3,0,0,1,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,49,118,25,89,9,28,69,22,13,2,5,13,34,11,5,4,3,1,0.0,0.0,0.0,0,0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2021-04-26,60,101,24,82,13,26,81,33,17,4,4,17,41,21,3,1,2,1,1.0,0.0,0.0,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-27,78,132,25,119,6,32,82,41,13,5,2,12,41,8,3,2,3,2,1.0,0.0,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-28,60,100,17,91,16,26,53,45,20,1,1,21,50,18,6,0,0,0,0.0,0.0,0.0,0,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2021-04-29,40,97,16,103,8,22,42,28,17,0,4,12,28,13,13,4,0,1,1.0,0.0,0.0,0,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2021-04-30,68,106,27,116,7,23,79,51,19,1,5,16,48,19,8,3,1,0,1.0,0.0,0.0,0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,73,135,30,114,3,32,78,80,22,4,8,6,59,21,20,5,3,3,0.0,0.0,0.0,0,3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
